dataset,classifier,aapr,aaf1,aamass,auc_roc,brier,ece
brfss,LogisticRegression,0.9643,0.9386,0.0683,0.8468,0.0708,0.0093
brfss,RandomForest,0.9743,0.9542,0.0929,0.8175,0.075,0.0197
brfss,XGBoost,0.9654,0.9428,0.0765,0.8446,0.0711,0.0076
creditcard,LogisticRegression,0.5094,0.3112,0.0004,0.9605,0.0008,0.0004
creditcard,RandomForest,0.3657,0.2324,0.0004,0.963,0.0004,0.0004
creditcard,XGBoost,0.3264,0.1823,0.0001,0.939,0.0005,0.0005
heart,LogisticRegression,0.4802,0.4079,0.1422,0.8971,0.1154,0.0554
heart,RandomForest,0.4715,0.4066,0.1966,0.9229,0.1024,0.0785
heart,XGBoost,0.3716,0.2847,0.0806,0.923,0.111,0.0892
nslkdd,LogisticRegression,0.5973,0.6252,0.0876,0.4965,0.1609,0.0352
nslkdd,RandomForest,0.6229,0.6308,0.199,0.5119,0.1649,0.0426
nslkdd,XGBoost,0.473,0.385,0.0698,0.4662,0.1889,0.1433
readmissions,LogisticRegression,0.9666,1.0,0.7288,0.6459,0.2331,0.0237
readmissions,RandomForest,0.9584,1.0,0.6635,0.6353,0.237,0.033
readmissions,XGBoost,0.9515,0.9975,0.573,0.6321,0.2421,0.0579
uci_credit,LogisticRegression,0.9717,1.0,0.1955,0.7076,0.1467,0.0497
uci_credit,RandomForest,0.923,0.9039,0.1951,0.7507,0.1405,0.0312
uci_credit,XGBoost,0.9155,0.878,0.1551,0.7565,0.1419,0.0431
